,工作名稱,公司,工作內容,Linux,Python,MS SQL,C,C++,Java,不拘,Windows 10,C#,Git,UNIX,Excel,PowerPoint,Word,Ruby,ASP.NET,PHP,MySQL,JavaScript,jQuery,Outlook,Oracle,PL/SQL,PostgreSQL,HTML,CSS,Windows Server 2008,Android,iOS,Go,Socket,RTSP,Node.js,AJAX
10,AI工程師,康百事生物資訊股份有限公司,"【工作內容】/專案目標: 透過基因數據以及其他臨床特徵，進行疾病預測。內容:1. 數據整理評估2. 執行AI模型開發 (ML/DL model)3. 發掘適合應用的臨床數據 (Feature engineering, also known as feature creation)4. 模型參數最佳化 ",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,【研發替代役】AI Engineer_人工智慧工程師,全曜財經資訊股份有限公司,"【工作內容】/[歡迎具111年度研發替代役資格者投遞履歷]At CMoney, our mission is to assist people in their lifelong investment. To this end,we have already launched several services and apps to help users to make decisionson different matters. So far CMoney has had the most popular stock mobile app andstock forum in Taiwan, where each has almost 800k monthly active users. Everydaymore than 100k articles and messages emerge from our apps and forum.Meanwhile, we collaborate with 50+ investment KOLs to help users succeed ininvestment. Currently, CMoney is at the fast-growing stage, and thus we are lookingfor brilliant talents to join our team, especially the ones with integrity, high socialinterest and growing mindset. For more detail of CMoney, please refer to thefollowing link: https://www.cmoney.tw/jobs/ .Our AI team focuses on utilizing natural language processing techniques includingtext classification and automatic summarization to enhance our products and to provide values to our users. Our AI team is also responsible for developing and establishing cross-product recommendation systems so that our products can offerbetter experience for the users. Moreover, our AI team has to design the scheme of lifelong machine learning to sustain our AI-powered services. If you not only love to keep track of the latest trend of AI development and techniques but also are passionate about implementing the relevant AI algorithms by yourself, we welcome you to join us.As such, you will:Design, develop, train, and integrate AI models to our services or productsAnalyze and diagnose the problems and bottlenecks of current AI modelsCollaborate with other product and data teams to propose and provide better solutionsMake CMoney service more intelligent, and make CMoney data more beneficial to the communityLast but not least make our customer success",0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,AI人工智慧工程師,智運國際科技股份有限公司,【工作內容】/1. 依專案需求進行數據整理、規劃與分析，設計AI模型   2. AI演算法開發設計運用 與模型整合  3. 規畫與架構標準化大數據分析流程   4. 協助相關數據分析,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,期貨策略 AI 工程師 (AI Engineer),天鏡科技股份有限公司,"【工作內容】/你是對期貨買賣操作有想法的人嗎 ? 徵求期貨界的傑西.李佛摩 -「最活躍的美國股市投機客」，想挑戰高薪及持續性收入嗎 ? 我們歡迎您加入「策略無限 - 策略開發」團隊 !!* 我們有全世界最厲害的回測系統，您發想出來的策略，回測台灣期貨19年的交易資料只要5-10分鐘，其他的回測系統則需要3-4 個小時。5-10分鐘我們還不滿意呢， 1 秒內完成19年的回測是未來目標，這真的很 COOL。* 我們有全世界最厲害的雲端Google 主機自動下單系統，免盯盤、家中免電腦、APP接受下單成交推播，您發想的策略，第二天立刻投入實戰。Required Skills &amp; Experience• Experience of Deep Learning, machine learning and Artificial Intelligence with MS in Engineering, Mathematics, Computer Vision or Computer Science • Experience working with modern Deep Learning techniques, framework and applications, Python, DL framework (e.g Tensorflow, Keras, PyTorch...), C, C++, C# programming experience (One of them) • Experience working with Deep Learning projects • Good teamwork and interpersonal skills • Action oriented with good communication, analytical and problem-solving skills",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,人工智慧工程師,新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),【工作內容】/★Make a Difference新光金控致力於成為最懂客戶需求的數位金融領導品牌。我們相信，融入客戶生活，聆聽客戶聲音，運用科技創造不凡體驗，才能創造企業持續成長的價值。面對金融科技的浪潮與挑戰，我們需要有共同信仰的你加入，一起翻轉數位金融的旅程 “Make a Difference”。在這裡你將負責的任務&gt; (1) 具有獨立AI研發與佈署能力，包含AI環境佈署與框架運用、機器模型建立、演算法引用研發等。 (2) 與子公司及外部技術夥伴進行深度技術合作，用以解決金融實務問題與改善內外部客戶/員工歷程。 (3) 評估外部合作夥伴之技術深度與廣度適用性。 (4) 運用RPA自動化流程開發並適時研究搭配AI相關應用於自動化流程。必要條件&gt;1. 具備深度學習開源框架技能，例如Tensorflow或Pytoch或Keras等。2. 熟悉基礎的機器學習方法並可充分應用於金融相關場景，例如預測模型、風險模型、徵審模型等。3. 具有Python或C/C++程式語言與機器學習相關技能，例如DNN、CNN、 RNN等。4. 注重細節的團隊合作者，具有良好的溝通與表達能力。5. 面試時可附上個人side project或研發成果簡報相關資料以利佐證。＜加分條件＞1. 資料科學、資訊工程、資訊管理或相關領域的學位。2. 曾在金融業工作/實習或是有服務過金融客戶有關人工智慧研發經驗者佳。3. 個性積極、具有挑戰創新的熱忱、自我管理能力佳，對於AI研發與科技應用具有熱情。4. 具備人工智慧相關特定領域經驗佳 e.g. NLP、ASR、生物辨識、推薦系統等。,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,AI工程師,宏虹電子科技有限公司,【工作內容】/***歡迎應屆畢業生***我們是一群年輕的團隊，鼓勵個人追求卓越表現，也提供暢通的升遷管道、職涯發展，宏虹也相當注重員工的工作環境，提供下午茶、聚餐、party等多樣福利~ 宏虹耕耘的領域包括數據採集、無線電通信與監測、網絡可視化、測試測量、汽車電子、自動化和嵌入式開發工具，如果你對宏虹有興趣，且對於自己在AI、數據分析、人工智慧等技術方面的能力有信心，也對於自己未來工作發展有想法，歡迎與我們聯繫~工作職責:1.從事人工智能、機器學習、大規模分佈式系統領域前沿算法及應用的研究分析；2.有效率辨識與選擇適合之AI技術進行模型開發(建模、分類、驗證、預測...)並解決問題；3.負責人工智能項目技術方案的開發、制定以及交付；4. 跟進最新AI技術進展及評估效益，並根據需求提供解決方案、技術支持；5. 其它主管交辦事項。,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,AI工程師//資料科學家/機器學習工程師/資料工程師,天益教育科技有限公司,"【工作內容】/本公司是醫教整合的新創公司主要是將幼兒能力數據可視化進行分析並且以大數據庫為驅動推薦最適性培育方案給老師並且長期追蹤了解孩子的成長軌跡進而持續修正演算法則與內容公司的技術核心就是做到『精準教育』。所以誠摯地邀請你如果你具備數據演算的相關專長同時你也熱愛與孩子相關的工作內容歡迎你加入我們！★工作描述1. 使用資料科學技術剖析數據，協助產品成效優化及發展方向2. 負責資料收集、資料清理、模型建置等工作事項3. 協助處理網路使用者觀看的文本，進行關鍵字擷取、文本分類等NLP任務4. 廣告推薦系統建置及優化5. 數據視覺化報表產出★能力要求1. 熟悉 ML 相關知識2. 熟悉Python程式語言，包含Pandas, Numpy, Sklearn,Tensorflow, Pytorch等模組3. 熟悉Linux 系統操作4. 熟悉資料庫程式語言 SQL★希望你有1. 推薦系統處理專案經驗佳2. 自然語言處理專案經驗佳3. 曾參與ML相關研究、競賽或發表論文經驗佳4. 具有統計學專長5. 具有分散式運算的相關知識，如 Spark、Hadoop、Hive6. 有使用過GCP, AWS 等雲端服務經驗佳",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,AI工程師(台北總公司),東和鋼鐵企業股份有限公司,【工作內容】/1.負責AI、Big Data專案之開發、建置與推廣2.具資料科學基本概念和技能3.有AI程式開發經驗者佳4.具工作熱忱、團隊精神和責任感,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,【2021重點職缺專區】AI人工智慧工程師,資策會_財團法人資訊工業策進會,【工作內容】/1.開發智慧健康 / 智慧運動等人工智慧應用服務2.數理統計 / 資料探勘 / 機器學習 / 人工智慧演算法實作與系統整合開發3.數據資料分析應用4.撰寫技術文件和設計規格5.影像處理/ 即時資料處理/ 語言處理,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,研發中心-AI工程師【高雄】,采威國際資訊股份有限公司,【工作內容】/1. 負責公司AI演算法架構制定與軟體系統的研發工作2. 根據專案開發要求，進行系統架構設計、軟體程式撰寫、演算法調優等工作3. AI模型部署至公有雲平台，並提供API和服務供其他雲端服務串接4. 配合專案進度，協同執行專案相關工作5. 主管交辦事項,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Machine Learning/ AI Engineer深度學習工程師,淇譽電子科技股份有限公司,【工作內容】/針對生理音（廔管音、心音、肺音）需要進行AI分析,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,AI工程師,美商艾必威科技有限公司台灣辦事處,"【工作內容】/1. 基於音樂之數據資料前期處理, 包含數據清洗, 特徵擷取, 數據相關性分析.2. 音樂演算法開發與最佳化, 模型建立, 預測, 分類及驗證.3. 基於音樂之機器學習/辨識, 深度學習或其他相關演算法應用.其他:1. 良好溝通, 自主學習2. 具軟體分析開發熱誠3. 跨部門溝通協調關於公司相關資訊，您可以透過以下網址了解我們:iBUYPOWER: https://www.ibuypower.com/company ",0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,B13人工智慧工程師,晉弘科技股份有限公司,【工作內容】/1.	影像處理演算法開發與維護2.	機器學習(Machine learning)演算法研發與應用3.	資料前處理與建模4.	Python/C/C++ 軟體開發經驗,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,資深ASP.NET工程師,風行天股份有限公司,【工作內容】/風行天是FINTECH與AI的領導公司，是一個年輕有活力的團隊，在業界享譽卓著。我們歡迎有熱情有能力的ASP.NET工程師加入我們。我們開發、設計平台與產品，提供企業在業務外勤上的管理工具提升效率，也提供獨特的匯兌風險管理平台，協助企業管理風險。所以您在這裡除了可以貢獻所學，還能借由互相學習提昇自我。具積極進取跟願意接受挑戰就是我們需要的人才！工作內容：1. 開發環境 : ASP .Net Core 22. 前端開發 : Angular6、Inoic3. 前後端介接 : GraphQL、WebAPI4. 資料庫 : Entity Framework、MS-SQL5. 與行動裝置應用技術結合,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,人工智能CV算法工程師 (AI CV Algorithm Engineer),羅傑斯人工智能股份有限公司,"【工作內容】/任職條件:  1. 對人工智慧算法研發有強烈熱誠與興趣。  2. 計算機，電子工程，自動化方向相關學歷，有機器學習或深度學習研究背景。  3. 熟悉 C++和Python編程，具有算法實現能力。  4. 熟悉CV演算法，並能針對現有神經網路模型(如: 物件/人臉偵測、人臉辨識)進行加速及優化   5. 不怕困難，有毅力獨立思考及解決問題能力。具以下實作經驗者佳,1.	人臉偵測 / 人臉辨識2.	CNN模型壓縮3.	生成對抗網路 (GAN)4.	姿態追蹤運動系統5.	物件體積量測系統6.	熟悉分散式運算、平行運算提供可參考電腦視覺相關開發專案, 如github 尤佳",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,AI工程師,長泓膠業股份有限公司,【工作內容】/1、以機器學習、深度學習與資料分析規劃與統籌專案，藉由科技的力量強化公司的系統並提供數據做為決策分析依據。2、研究與開發人工智慧之演算法結構、並提供應用和服務 3、跨部門溝通、協調、整合專案進行，推動公司AI與新創科技導入應用。4、具備統計分析、資料建模能力。5、主管交辦事項。,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,AI應用工程師,財團法人自行車暨健康科技工業研究發展中心,【工作內容】/工作項目說明：1.AI專案執行及程式撰寫(python、SQL、資料庫、數據分析…)2.科技專案研究規劃與執行3.廠商合作案規劃與執行,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,AI演算法工程師,力晶積成電子製造股份有限公司(力積電),【工作內容】/【工作內容】 1. 需求分析及規劃、資料萃取、資料清理、特徵工程 2. 數據分析、資訊視覺化、說明分析結果、提出建議 3. AI演算法的設計和應用,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
28,工研院服科中心_文化科技AI工程師(S100),工研院 _財團法人工業技術研究院,"【工作內容】/對科技藝術相關創作計畫進行 ""影像辨識 / 影像生成(GAN)"" 應用程式開發 文化科技領域應用計畫之身體節點動態偵測的應用開發。",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,AI程式設計工程師,方象國際有限公司,"【工作內容】/1. 熟image processing、computer vision2. 熱愛影像研發工作者3. 本科系為佳。無相關學歷，但具備熟練影像程式開發技巧亦可。4. 對影音串流有基本的認識5. 熟程式設計：C#，會 C/C++尤佳。。6. 接觸過 openCV,ffmpeg 尤佳。",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,視覺算法開發工程師,英屬維京群島商視芯智能股份有限公司台灣分公司,【工作內容】/1.	2D/3D視覺相關及AI 物體識別等相關演算法2.	與ASIC 工程師共同開發算法相關IP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,python工程師,普匯金融科技股份有限公司,【工作內容】/inFlux 普匯金融科技是一家利用科技去輔助並提供金融服務的公司，以普惠金融為志業，希望落實傳統銀行無法提供的金融服務。「金融專業」為核心，「高端科技」為輔具，提供「最有溫度」的社群服務，拉近人與人的距離，讓金融年輕化。目前公司獲得金控集團投資及多家銀行合作，是未來的AI金融科技獨角獸，後端工程師除了能開發最真實的金融服務系統，更有機會走在台灣金融科技的前緣，工作內容為開發 Python 相關子系統，如爬蟲、自動化系統等。希望你加入我們一起成長，用專業的技術一起為台灣金融科技產業貢獻。【工作內容】1.Python 監控與維運系統開發2.Python 相關子系統維運3.採用 Flask 進行開發 RESTful API4.技術文件撰寫5.串接第三方的 API/SDK【需備條件】1.具有 Git 版本控制相關知識2.熟悉 Linux 操作環境及相關指令3.良好溝通能力，團隊配合度高4.Python 與 Flask 開發能力【加分條件】1.熟悉關聯式資料庫設計 (MySQL等)2.使用 MongoDB 進行開發的實務經驗3.微服務 (Microservices) 開發實務經驗4.熟悉相關設計模式 (Design Pattern)5.有串接第三方的 API/SDK 實務經驗6.有金融相關背景知識【福利制度】｜基本款｜*勞保、健保、勞退等基本規範*每人有舒適的工作環境*完善業務獎金制度｜特別款｜*三節都會有禮品*員工的生日慶祝！每月會對壽星舉辦慶生*不只是寫寫程式，讓你工作之餘能涉獵金融科技相關的專業知識*多家銀行與企業的合作，讓你能有外面不會接觸到的學習機會*有點累了？公司提供免費咖啡讓你提神*每月補充的零食櫃，讓你解解肚子餓及嘴饞的煩惱*每個月的小確幸，科技部門聚餐吃飯*每年健康檢查，照顧每位員工的身體狀況*工程師通過試用期即配備 MacBook Pro 及 24 吋大螢幕，讓你擁有好的開發體驗,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,F503-AI工程師(台中),大同世界科技股份有限公司,【工作內容】/▶ JD工作說明1.面對問題能審慎應對，進行資料分析，確實掌握客戶問題痛點，提出合適的解決方案2.瞭解客戶的需求，在指導下能產出系統規格資料3.能運用並結合許多不同的工具，完成符合客戶需求的服務4.能運用不同的程式語言做整合應用，開發軟體5.能針對公司內部多元需求，提供適合的解決方案或建議，並能分享與傳授軟體開發整合性知識 ▶JS具備技能1. 1年以上系統開發經驗 2. 程式設計開發，ASP.NET C# Python3. 熟悉SQL語法需具備網頁開發相關技術，Ajax、Java Script、CSS等 4. 具備Object-relational mapping，LINQ、ADO.NET Entity Framework尤佳 5. 熟悉任一AI框架尤佳（如：Tensorflow、Keras、Caffe等） 6. 具有機器學習、深度學習、影像辨識研究背景尤佳,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,前端工程師 Frontend Engineer,聚典資訊股份有限公司,【工作內容】/前端工程師 Frontend Engineer  【注意事項】：請至 https://www.104.com.tw/company/1a2x6bl0ew 投遞履歷，我們會以這邊收到的履歷為主。【工作內容】作為 Ret[AI]ling Data的工程師，你將投入 Ret[AI]ling Data 的核心產品開發，與其他工程、設計團隊、產品經理等夥伴們密切討論、規劃，共同打造最棒的零售AI數據系統。除核心產品之外，前端工程師會支援不同的專案，配合市場方向、產品策略、使用者回饋，與行銷和內容團隊密切合作，共同為團隊最大化 Ret[AI]ling Data的產品價值。【工作目標】☆  基於Front end Framework之上，與團隊共同設計、開發、維護系統功能☆  共同參與產品方向討論，一起打造最棒的產品☆  持續對規劃、討論、開發、驗證的協作流程提出建議☆  建立並串聯數據與服務API☆  解決各種瀏覽器/尺寸相容問題☆  協助編寫和技術開發相關文件【必要條件】☆  具備開發經驗。☆  HTML/CSS/JavaScript (框架: React/Vue)。☆  熟悉RWD☆  API 設計及實作☆  具備積極的心態，能快速適應各種變動，並勇於面對各種未知的挑戰。☆  具備解決問題的能力，創造性思考並超越標準化模板的能力。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
